#wav 	 bestfit 	 low1sig 	 up1sig 	 low2sig 	 up2sig 
2.0190501380 0.0096029193 0.0095984742 0.0096084723 0.0095951095 0.0096113369
1.9990595425 0.0096083497 0.0096043969 0.0096137546 0.0096009637 0.0096160664
1.9792668738 0.0096150409 0.0096110144 0.0096214394 0.0096070888 0.0096251594
1.9596701721 0.0096241352 0.0096196812 0.0096296534 0.0096158496 0.0096334925
1.9402674971 0.0096323028 0.0096280829 0.0096387162 0.0096239697 0.0096425665
1.9210569278 0.0096301952 0.0096266964 0.0096362123 0.0096234060 0.0096395663
1.9020365622 0.0096225286 0.0096192178 0.0096265228 0.0096166863 0.0096290352
1.8832045170 0.0096327678 0.0096291153 0.0096358781 0.0096261608 0.0096385578
1.8645589278 0.0096507323 0.0096468269 0.0096549246 0.0096440517 0.0096575934
1.8460979483 0.0096549834 0.0096517714 0.0096582146 0.0096492429 0.0096604728
1.8278197508 0.0096589888 0.0096560775 0.0096621309 0.0096536175 0.0096641655
1.8097225255 0.0096592683 0.0096560034 0.0096622127 0.0096537614 0.0096641769
1.7918044807 0.0096732961 0.0096696345 0.0096767955 0.0096673482 0.0096790098
1.7740638423 0.0096672538 0.0096633781 0.0096709477 0.0096614002 0.0096729167
1.7564988537 0.0096656946 0.0096614889 0.0096694893 0.0096596279 0.0096714067
1.7391077760 0.0096742982 0.0096701779 0.0096785421 0.0096680860 0.0096808987
1.7218888871 0.0096736114 0.0096693880 0.0096779472 0.0096672770 0.0096797270
1.7048404823 0.0096840975 0.0096803025 0.0096885690 0.0096777287 0.0096907796
1.6879608736 0.0096682336 0.0096639866 0.0096723266 0.0096618029 0.0096744226
1.6712483897 0.0096752686 0.0096713619 0.0096797238 0.0096693404 0.0096816027
1.6547013759 0.0096529099 0.0096490107 0.0096571443 0.0096467595 0.0096590299
1.6383181940 0.0096534609 0.0096496500 0.0096575997 0.0096473351 0.0096594809
1.6220972217 0.0096420569 0.0096389057 0.0096460053 0.0096361975 0.0096478453
1.6060368532 0.0096058961 0.0096028434 0.0096087040 0.0095999418 0.0096116038
1.5901354982 0.0095901725 0.0095856592 0.0095935102 0.0095833410 0.0095960524
1.5743915824 0.0095899533 0.0095858803 0.0095937103 0.0095833971 0.0095957224
1.5588035469 0.0095939822 0.0095903234 0.0095978704 0.0095875597 0.0096000380
1.5433698484 0.0095951042 0.0095913199 0.0095996978 0.0095877162 0.0096023091
1.5280889589 0.0095999227 0.0095955015 0.0096052037 0.0095921642 0.0096080213
1.5129593652 0.0096071315 0.0096026268 0.0096136044 0.0095993463 0.0096168711
1.4979795695 0.0096113530 0.0096080583 0.0096162098 0.0096052399 0.0096193518
1.4831480886 0.0096193833 0.0096158914 0.0096241138 0.0096133939 0.0096269329
1.4684634541 0.0096255842 0.0096221598 0.0096285265 0.0096202535 0.0096316256
1.4539242120 0.0096320635 0.0096283771 0.0096350876 0.0096260860 0.0096373488
1.4395289227 0.0096517497 0.0096474499 0.0096554957 0.0096447150 0.0096598037
1.4252761611 0.0096676809 0.0096632282 0.0096715559 0.0096602990 0.0096762322
1.4111645160 0.0096776490 0.0096737531 0.0096815030 0.0096709556 0.0096854668
1.3971925901 0.0096891182 0.0096853333 0.0096931430 0.0096830650 0.0096958716
1.3833590001 0.0096871579 0.0096835218 0.0096911029 0.0096812083 0.0096937476
1.3696623763 0.0096755653 0.0096712454 0.0096796258 0.0096683481 0.0096840352
1.3561013627 0.0096769319 0.0096730649 0.0096811470 0.0096700337 0.0096850794
1.3426746165 0.0096477261 0.0096443877 0.0096511881 0.0096417569 0.0096531594
1.3293808084 0.0096288404 0.0096259229 0.0096319515 0.0096240692 0.0096341109
1.3162186222 0.0096072268 0.0096046747 0.0096099667 0.0096026190 0.0096121179
1.3031867547 0.0095989534 0.0095955882 0.0096017944 0.0095936458 0.0096043817
1.2902839155 0.0095926138 0.0095889057 0.0095959370 0.0095867450 0.0095983146
1.2775088272 0.0095884741 0.0095837345 0.0095921260 0.0095812853 0.0095944302
1.2648602250 0.0095868408 0.0095816289 0.0095908746 0.0095788456 0.0095933842
1.2523368564 0.0095874721 0.0095827263 0.0095917113 0.0095799960 0.0095937934
1.2399374816 0.0095886818 0.0095841980 0.0095927514 0.0095813327 0.0095950014
1.2276608729 0.0095913624 0.0095875767 0.0095950283 0.0095847938 0.0095973776
1.2155058147 0.0095950956 0.0095915673 0.0095982405 0.0095894608 0.0096011065
1.2034711037 0.0096061262 0.0096038764 0.0096094007 0.0096013212 0.0096125245
1.1915555482 0.0096315502 0.0096283197 0.0096357965 0.0096258375 0.0096380987
1.1797579685 0.0096469935 0.0096434163 0.0096511459 0.0096410064 0.0096531844
1.1680771966 0.0096511686 0.0096481778 0.0096551800 0.0096456308 0.0096569820
1.1565120758 0.0096577141 0.0096542499 0.0096619773 0.0096518513 0.0096636432
1.1450614612 0.0096234932 0.0096204516 0.0096267486 0.0096182434 0.0096291228
1.1337242190 0.0096317242 0.0096285383 0.0096349557 0.0096260580 0.0096371933
1.1224992267 0.0096336926 0.0096306467 0.0096373041 0.0096281590 0.0096397959
1.1113853730 0.0096117585 0.0096087536 0.0096149586 0.0096065557 0.0096179680
1.1003815574 0.0095987884 0.0095950590 0.0096025720 0.0095926431 0.0096048949
1.0894866905 0.0095912486 0.0095869485 0.0095948323 0.0095843942 0.0095974878
1.0786996936 0.0095882249 0.0095829372 0.0095923007 0.0095799431 0.0095951729
1.0680194986 0.0095876129 0.0095823500 0.0095917706 0.0095794407 0.0095949298
1.0574450481 0.0095873807 0.0095821649 0.0095915995 0.0095793075 0.0095948909
1.0469752952 0.0095888528 0.0095839284 0.0095928774 0.0095811856 0.0095965088
1.0366092031 0.0095930352 0.0095888819 0.0095963779 0.0095862127 0.0096001394
1.0263457457 0.0095981756 0.0095946846 0.0096009029 0.0095919060 0.0096049641
1.0161839066 0.0095978453 0.0095941915 0.0096006174 0.0095915585 0.0096048209
1.0061226798 0.0096018615 0.0095986349 0.0096046274 0.0095965615 0.0096087236
0.9961610691 0.0095996837 0.0095965544 0.0096027693 0.0095942091 0.0096061045
0.9862980882 0.0095991158 0.0095962090 0.0096030386 0.0095932597 0.0096053701
0.9765327606 0.0095998293 0.0095965703 0.0096038080 0.0095937401 0.0096065468
0.9668641194 0.0096019647 0.0095985948 0.0096058805 0.0095957267 0.0096100485
0.9572912074 0.0096063792 0.0096028605 0.0096101492 0.0095992834 0.0096149037
0.9478130766 0.0096051119 0.0096013803 0.0096089104 0.0095979976 0.0096138423
0.9384287887 0.0096062278 0.0096025830 0.0096104487 0.0095987154 0.0096151984
0.9291374146 0.0096047024 0.0096007869 0.0096086602 0.0095975719 0.0096137001
0.9199380342 0.0095964369 0.0095923285 0.0096005967 0.0095893860 0.0096033187
0.9108297369 0.0096060915 0.0096031598 0.0096095530 0.0096008298 0.0096127060
0.9018116206 0.0096206049 0.0096176957 0.0096240630 0.0096153819 0.0096272748
0.8928827927 0.0096189852 0.0096161456 0.0096227062 0.0096135862 0.0096259343
0.8840423690 0.0095926115 0.0095880375 0.0095968988 0.0095852003 0.0096017616
0.8752894743 0.0095891904 0.0095839866 0.0095940283 0.0095812691 0.0095987161
0.8666232419 0.0095883998 0.0095828696 0.0095931654 0.0095801072 0.0095983111
0.8580428137 0.0095883732 0.0095827269 0.0095930930 0.0095799530 0.0095983594
0.8495473403 0.0095886991 0.0095831565 0.0095934297 0.0095804325 0.0095986682
0.8411359805 0.0095901479 0.0095849854 0.0095948387 0.0095826298 0.0095994907
0.8328079015 0.0095907515 0.0095855449 0.0095948785 0.0095816841 0.0095997520
0.8245622787 0.0095913028 0.0095861331 0.0095954485 0.0095823661 0.0096002997
0.8163982958 0.0095930236 0.0095877923 0.0095969661 0.0095843268 0.0096018345
0.8083151443 0.0095894914 0.0095843021 0.0095938764 0.0095802764 0.0095992224
0.8003120241 0.0095881641 0.0095823522 0.0095930300 0.0095785697 0.0095987739
0.7923881427 0.0095875299 0.0095812334 0.0095927334 0.0095776694 0.0095987183
0.7845427155 0.0095872576 0.0095808873 0.0095925747 0.0095771688 0.0095987934
0.7767749658 0.0095869298 0.0095803915 0.0095922647 0.0095762333 0.0095986288
0.7690841246 0.0095869250 0.0095803520 0.0095923426 0.0095762329 0.0095987583
0.7614694303 0.0095870244 0.0095804004 0.0095924206 0.0095762860 0.0095989210
0.7539301290 0.0095871275 0.0095806191 0.0095926119 0.0095770065 0.0095991475
0.7464654743 0.0095876644 0.0095814921 0.0095933420 0.0095786908 0.0095998704
0.7390747270 0.0095901710 0.0095847526 0.0095952339 0.0095814745 0.0096010797
0.7317571554 0.0095921934 0.0095869512 0.0095968764 0.0095835176 0.0096024040
0.7245120351 0.0095926414 0.0095875241 0.0095972075 0.0095840582 0.0096028326
0.7173386486 0.0095922249 0.0095871513 0.0095970824 0.0095835205 0.0096028134
0.7102362857 0.0095885384 0.0095826014 0.0095942777 0.0095798775 0.0096009780
0.7032042433 0.0095892059 0.0095832688 0.0095949450 0.0095804953 0.0096015326
0.6962418251 0.0095894112 0.0095834949 0.0095951199 0.0095805503 0.0096018320
0.6893483416 0.0095879759 0.0095815663 0.0095936023 0.0095784641 0.0096011456
0.6825231105 0.0095874226 0.0095808673 0.0095930896 0.0095773963 0.0096010037
0.6757654560 0.0095874452 0.0095810648 0.0095930535 0.0095773831 0.0096012050
0.6690747089 0.0095875281 0.0095812378 0.0095930655 0.0095774394 0.0096014340
0.6624502068 0.0095876972 0.0095816285 0.0095932039 0.0095780348 0.0096017423
0.6558912939 0.0095882718 0.0095821590 0.0095938042 0.0095787302 0.0096021161
0.6493973207 0.0095887196 0.0095827971 0.0095942423 0.0095798203 0.0096024855
0.6429676442 0.0095880481 0.0095817859 0.0095935314 0.0095782290 0.0096022887
0.6366016280 0.0095879037 0.0095814877 0.0095934119 0.0095780399 0.0096023902
0.6302986415 0.0095879520 0.0095815801 0.0095935380 0.0095780689 0.0096025712
0.6240580609 0.0095878893 0.0095815618 0.0095935331 0.0095778933 0.0096027078
